cluster_id,is_noise,size_train,fp_rate_train
-1,True,37,0.5946
0,False,39,0.4103
1,False,7,0.4286
2,False,11,0.6364
3,False,12,0.5833
4,False,5,0.2
5,False,17,0.4706
6,False,4,0.25
7,False,13,0.4615
8,False,6,0.5
9,False,10,0.4
10,False,12,0.6667
11,False,15,0.3333
12,False,15,0.6667
13,False,16,0.4375
14,False,8,0.375
15,False,6,0.1667
16,False,32,0.3438
17,False,25,0.72
18,False,8,0.375
19,False,11,0.5455
20,False,13,0.5385
21,False,18,0.7222
22,False,12,0.4167
23,False,23,0.4348
24,False,4,0.5
25,False,20,0.65
26,False,4,1.0
27,False,12,0.6667
28,False,5,0.4
29,False,3,1.0
30,False,3,1.0
31,False,19,0.2632
32,False,11,0.5455
33,False,8,0.5
34,False,3,1.0
35,False,7,0.7143
36,False,6,0.8333
37,False,7,0.2857
38,False,4,0.25
39,False,5,0.6
40,False,3,0.6667
