index,rule_id,rule_type,tool,level,file_type,start_line,rank,occurrence_count,severity,ground_truth_fp
0,hsts-missing,clear_fp,Semgrep,note,production,1045,0.15601864044243652,2,0.8661761457749352,True
1,line-too-long,clear_fp,CodeQL,note,infra,1216,0.9922115592912175,3,0.023062425041415757,True
2,open-redirect,mixed,SonarQube,error,production,190,0.0906064345328208,7,0.013264961159866528,False
3,ssh-anomaly,mixed,SonarQube,error,test,956,0.12203823484477883,2,0.9093204020787821,True
4,latest-tag,clear_fp,CodeQL,note,production,1130,0.5677003278199915,1,0.8422847745949985,False
5,open-redirect,mixed,SonarQube,none,production,1276,0.045227288910538066,3,0.8287375091519293,True
6,path-traversal,mixed,Semgrep,note,production,15,0.1652669390630025,1,0.4234014807063696,True
7,gdpr-data-leak,clear_vp,Semgrep,note,config,379,0.07404465173409036,2,0.8631034258755935,False
8,line-too-long,clear_fp,CodeQL,error,production,1752,0.6659223566174967,4,0.9717120953891037,True
9,insecure-deser,clear_vp,SonarQube,warning,test,1882,0.02541912674409519,2,0.6364104112637804,False
10,rds-public,mixed,SonarQube,note,production,749,0.5398410913016731,6,0.295633685837714,True
11,dom-xss,clear_vp,CodeQL,none,test,1372,0.3562978380769749,4,0.352568856334169,False
12,bare-except,clear_fp,Semgrep,warning,production,1249,0.1198653673336828,5,0.363629602379294,True
13,ssrf-request,clear_vp,CodeQL,none,production,642,0.4110370133182313,1,0.345071248026683,False
14,weak-cipher,mixed,CodeQL,error,production,1440,0.5926967238793935,2,0.24215993827742588,False
15,xss-reflected,mixed,Semgrep,warning,production,1225,0.32078006497173583,2,0.5908929431882418,False
16,gdpr-data-leak,clear_vp,SonarQube,note,config,1844,0.940523264489604,6,0.5414479738275658,False
17,command-injection,clear_vp,CodeQL,warning,test,897,0.09310276780589921,6,0.8971102599525771,False
18,csrf-missing,mixed,Semgrep,none,config,1992,0.7853406511139436,6,0.30536386034439345,False
19,assert-usage,clear_fp,Semgrep,note,production,816,0.7464914051180241,5,0.3677158030594335,True
20,insecure-deser,clear_vp,SonarQube,warning,infra,438,0.906098787718554,6,0.4991933798847523,True
21,rce-confirmed,clear_vp,Semgrep,none,infra,518,0.3701587002554444,1,0.9283185625877254,False
22,sql-injection,mixed,SonarQube,warning,infra,253,0.38509772860192526,3,0.5568012624583502,False
23,csrf-missing,mixed,SonarQube,error,test,962,0.25416364906973876,4,0.7089109969101186,False
24,eval-detected,clear_fp,Semgrep,note,config,408,0.9132405525564713,8,0.375582952639944,True
25,s3-no-encryption,mixed,CodeQL,error,infra,314,0.8604046183116753,2,0.3032655146732228,False
26,catch-generic,clear_fp,Semgrep,warning,config,1127,0.085347464993768,2,0.5406351216101065,False
27,path-traversal,mixed,SonarQube,note,production,1811,0.4389714207056361,2,0.9626484146779251,False
28,http-404-burst,clear_fp,CodeQL,note,production,513,0.44235222973110444,2,0.18286599710730733,True
29,rds-public,mixed,SonarQube,warning,test,1987,0.24773098950115746,3,0.11607264050691624,True
30,ssrf-request,clear_vp,Semgrep,warning,infra,1228,0.017161101831750236,6,0.9491457315913859,True
31,gdpr-data-leak,clear_vp,Semgrep,warning,config,516,0.6158511643899138,8,0.811204176736003,False
32,rce-confirmed,clear_vp,CodeQL,warning,infra,1067,0.19579113478929644,2,0.018221825651549728,False
33,latest-tag,clear_fp,CodeQL,warning,test,418,0.2606945282359031,5,0.41794603171557876,False
34,assert-usage,clear_fp,SonarQube,error,config,1713,0.7316477552996402,2,0.5805440123439098,True
35,prototype-pollution,mixed,Semgrep,note,config,1822,0.9025529066795667,5,0.01083765148029836,False
36,rce-confirmed,clear_vp,SonarQube,warning,infra,1408,0.48252094964264247,2,0.09170414725848108,False
37,sql-injection,mixed,Semgrep,note,config,1717,0.49442030470258147,2,0.441530501373377,False
38,sqli-confirmed,clear_vp,Semgrep,note,infra,1098,0.8369638742373738,5,0.8918969087767766,False
39,latest-tag,clear_fp,Semgrep,warning,production,511,0.9076937063485463,5,0.7050843642966599,True
40,gdpr-data-leak,clear_vp,Semgrep,error,production,754,0.46866064199412627,2,0.11752624677710488,False
41,weak-cipher,mixed,Semgrep,warning,production,824,0.5283701212972092,6,0.924643330223596,False
42,assert-usage,clear_fp,CodeQL,warning,infra,47,0.6293986381352625,6,0.2809631895922303,True
43,path-traversal,mixed,CodeQL,note,production,540,0.07773463696498484,8,0.9109271844938425,False
44,deserialization,clear_vp,Semgrep,warning,test,450,0.08274842003530614,4,0.7776022837352256,False
45,ssh-anomaly,mixed,SonarQube,warning,infra,689,0.8383287047111379,4,0.8647223762550532,False
46,open-redirect,mixed,SonarQube,note,infra,997,0.7261208440718481,4,0.25144243951179845,False
47,latest-tag,clear_fp,SonarQube,note,production,154,0.49816518664589293,6,0.7918178394696329,True
48,open-redirect,mixed,Semgrep,error,config,1934,0.7040797680992236,2,0.014544665667881929,False
49,hardcoded-secret,mixed,Semgrep,error,config,166,0.4509104474161044,6,0.8420914150187097,False
50,dom-xss,clear_vp,Semgrep,warning,infra,1474,0.3287516102875082,3,0.12887972191064923,False
51,csrf-missing,mixed,SonarQube,warning,infra,93,0.9731103492701043,4,0.3476192144826835,True
52,bare-except,clear_fp,CodeQL,error,production,1070,0.36426986104807546,3,0.7994103989090426,False
53,open-redirect,mixed,Semgrep,warning,production,8,0.7482596903836584,2,0.370472102791382,False
54,ssh-anomaly,mixed,CodeQL,note,test,365,0.06234136251124145,2,0.6871655054033311,True
55,deserialization,clear_vp,SonarQube,warning,test,1216,0.26924323094938096,2,0.3220791655831783,False
56,ssh-anomaly,mixed,Semgrep,warning,production,1236,0.47396994143055615,5,0.5577422659504374,True
57,catch-generic,clear_fp,CodeQL,warning,test,1467,0.35609672589784624,4,0.15285913918433203,True
58,assert-usage,clear_fp,CodeQL,note,production,1631,0.05565348935697534,2,0.018242481428361046,True
59,dns-exfiltration,clear_vp,CodeQL,note,production,947,0.8208614731533526,5,0.9679940665042343,False
60,dom-xss,clear_vp,SonarQube,warning,production,1,0.6106200424416326,3,0.4811401018548175,False
61,eval-detected,clear_fp,CodeQL,warning,test,13,0.6845715478798333,2,0.0027108994143296705,True
62,dns-exfiltration,clear_vp,CodeQL,warning,production,1119,0.9295291442478258,6,0.0664962673667775,False
63,latest-tag,clear_fp,CodeQL,note,config,1315,0.16426579793099294,6,0.8165994394715771,True
64,insecure-deser,clear_vp,Semgrep,none,test,1047,0.43874467538833906,4,0.06661911239081697,False
65,todo-comment,clear_fp,SonarQube,note,production,1647,0.6200727559285135,5,0.24848913981446574,True
66,weak-cipher,mixed,Semgrep,error,test,1659,0.7546352918601166,3,0.45700021928167833,False
67,public-subnet,mixed,CodeQL,warning,config,1435,0.6411476328852973,4,0.18159771680142567,False
68,bare-except,clear_fp,CodeQL,warning,production,302,0.6149502631526544,3,0.2560155318536622,True
69,command-injection,clear_vp,SonarQube,note,infra,1130,0.771246668519738,2,0.07732106548878726,False
70,http-404-burst,clear_fp,CodeQL,none,production,1637,0.9848411989623346,5,0.5912754357449292,True
71,dom-xss,clear_vp,SonarQube,note,test,575,0.4145045842036277,7,0.9127494628791288,False
72,s3-no-encryption,mixed,Semgrep,warning,production,177,0.7804957075460877,3,0.5151736824068126,False
73,xss-reflected,mixed,Semgrep,error,infra,327,0.5953850173200438,3,0.8980542894407137,False
74,public-subnet,mixed,SonarQube,note,production,18,0.29404467922097155,5,0.7653562810662407,True
75,todo-comment,clear_fp,CodeQL,warning,production,162,0.4087341710980964,1,0.15615259736619036,True
76,public-subnet,mixed,SonarQube,warning,test,443,0.5055078791060338,6,0.8053149673579051,True
77,command-injection,clear_vp,Semgrep,warning,test,910,0.29314773026101326,2,0.08550853085446808,False
78,gdpr-data-leak,clear_vp,Semgrep,error,infra,700,0.7039461351385095,6,0.8306545065652498,False
79,sql-injection,mixed,CodeQL,warning,infra,1388,0.14011317576645255,6,0.2686773593849461,True
80,malware-callback,clear_vp,CodeQL,warning,production,1259,0.4217039345532818,5,0.5296616786550811,False
81,catch-generic,clear_fp,SonarQube,note,config,1653,0.010995828658480478,5,0.6650366745462555,True
82,malware-callback,clear_vp,CodeQL,note,production,634,0.42203605955068735,4,0.7709859255354785,False
83,latest-tag,clear_fp,SonarQube,warning,production,664,0.936829739324758,3,0.2622640442998251,True
84,sqli-confirmed,clear_vp,SonarQube,note,infra,482,0.6233325509049907,4,0.704925549688953,False
85,deserialization,clear_vp,CodeQL,note,test,102,0.5902306668690871,2,0.9173135754622428,True
86,eval-detected,clear_fp,CodeQL,note,test,1616,0.8729458358764083,7,0.22120944181960223,True
87,sql-injection,mixed,CodeQL,note,production,827,0.9442664891134339,6,0.596269878482053,True
88,path-traversal,mixed,SonarQube,warning,infra,936,0.4410321617481616,6,0.5201681098787319,True
89,todo-comment,clear_fp,SonarQube,note,production,1805,0.528937134027212,7,0.6275054632183701,True
90,dns-exfiltration,clear_vp,SonarQube,warning,production,1383,0.5225191916345231,2,0.4673107665376526,False
91,catch-generic,clear_fp,CodeQL,error,production,1999,0.42777313373586234,5,0.08941100231225951,True
92,csrf-missing,mixed,CodeQL,none,test,1869,0.9891849098133589,2,0.40158023642548746,True
93,insecure-deser,clear_vp,CodeQL,warning,production,937,0.18643826214425452,3,0.9691026301408113,False
94,todo-comment,clear_fp,SonarQube,warning,test,1514,0.5152479243147259,7,0.8949214412278399,True
95,hardcoded-secret,mixed,Semgrep,error,infra,738,0.8621276172654506,4,0.4084532130706987,False
96,latest-tag,clear_fp,CodeQL,note,production,454,0.9621219725920498,4,0.8829062691374613,True
97,latest-tag,clear_fp,Semgrep,note,test,1313,0.878629986355158,11,0.8808707591989284,True
98,gdpr-data-leak,clear_vp,SonarQube,note,production,1461,0.7435082562916078,5,0.2870381331749128,False
99,open-redirect,mixed,Semgrep,warning,production,675,0.12844871809319136,2,0.4322407838925123,False
100,path-traversal,mixed,Semgrep,note,infra,278,0.9372284872364511,2,0.30096356694681625,True
101,unused-import,clear_fp,CodeQL,error,production,306,0.990148372750647,5,0.06562614457401295,True
102,dns-exfiltration,clear_vp,CodeQL,warning,config,1562,0.15893828327675652,3,0.854209774461566,False
103,rds-public,mixed,CodeQL,error,test,1483,0.2732595269982093,5,0.6385259476640855,True
104,s3-no-encryption,mixed,CodeQL,warning,production,1916,0.724422672614117,6,0.5432328057899581,True
105,latest-tag,clear_fp,SonarQube,note,config,387,0.7967978278640275,4,0.46209729076566064,True
106,hsts-missing,clear_fp,Semgrep,error,test,1702,0.22554014244373544,3,0.5902639388856225,True
107,sql-injection,mixed,CodeQL,error,production,1519,0.6000205481193037,5,0.48050694725782894,False
108,ssrf-request,clear_vp,SonarQube,error,test,592,0.48235638155159155,5,0.5342422059764451,False
109,bare-except,clear_fp,CodeQL,warning,test,143,0.2001502442448101,2,0.6364302495436367,True
110,bare-except,clear_fp,SonarQube,warning,test,1440,0.29883588633731384,8,0.5974758626319301,True
111,path-traversal,mixed,CodeQL,note,production,1036,0.24710323401014644,3,0.9758652558191313,True
112,latest-tag,clear_fp,SonarQube,note,production,1836,0.5553635509376312,6,0.6802282424312913,True
113,open-redirect,mixed,Semgrep,warning,config,516,0.7353502986657526,6,0.39551516984901525,False
114,dns-exfiltration,clear_vp,CodeQL,none,production,755,0.5923503285933622,6,0.7158249646820886,False
115,weak-cipher,mixed,CodeQL,error,production,504,0.5794148993435008,3,0.3121480566964471,False
116,todo-comment,clear_fp,Semgrep,note,production,919,0.45378954138363925,2,0.16975790508754074,True
117,unused-import,clear_fp,Semgrep,warning,test,313,0.16704190790094986,2,0.7364020150656405,True
118,catch-generic,clear_fp,SonarQube,note,test,1743,0.5581402495938629,2,0.9866929803571616,True
119,unused-import,clear_fp,Semgrep,error,production,1083,0.3161561049767505,2,0.14834320096208886,False
120,csrf-missing,mixed,Semgrep,note,production,1330,0.9730977480703464,4,0.5322449888262991,True
121,prototype-pollution,mixed,Semgrep,note,production,1519,0.1771497894473859,9,0.9309486955069778,True
122,unused-import,clear_fp,CodeQL,note,infra,1077,0.6669715169909073,3,0.6049539226905408,False
123,malware-callback,clear_vp,Semgrep,note,test,971,0.8785155613013479,6,0.435583314812933,False
124,csrf-missing,mixed,Semgrep,warning,test,1679,0.6302087483291442,5,0.5456868884954734,True
125,latest-tag,clear_fp,CodeQL,note,test,1801,0.3797857801792298,4,0.34124782762615635,True
126,line-too-long,clear_fp,SonarQube,warning,production,43,0.7648832615421283,4,0.1957779856835461,True
127,dns-exfiltration,clear_vp,SonarQube,error,production,1826,0.16633160774314215,7,0.7176357859086295,False
128,malware-callback,clear_vp,SonarQube,warning,production,1287,0.6811178539649828,4,0.5673122196289035,False
129,csrf-missing,mixed,Semgrep,warning,production,887,0.6379852057932976,5,0.3607725191105998,False
130,csrf-missing,mixed,Semgrep,warning,production,1604,0.2748060355481361,4,0.623859324676573,True
131,todo-comment,clear_fp,Semgrep,note,production,662,0.023638586046336396,4,0.39090599590551467,True
132,weak-cipher,mixed,SonarQube,error,production,1621,0.675841245087376,4,0.34109002447422054,False
133,rds-public,mixed,Semgrep,warning,production,353,0.5957507281889567,4,0.4424099364806695,False
134,path-traversal,mixed,Semgrep,note,production,776,0.8800790875614583,4,0.6694869551981901,True
135,latest-tag,clear_fp,Semgrep,warning,production,1869,0.6349600455910331,4,0.8218064439010868,True
136,command-injection,clear_vp,CodeQL,note,config,237,0.11982900201764635,2,0.7371802250072431,False
137,dom-xss,clear_vp,SonarQube,note,production,800,0.12771348363523483,4,0.3031283559453286,False
138,line-too-long,clear_fp,Semgrep,warning,production,969,0.5097242467516981,5,0.7862759567570945,True
139,rce-confirmed,clear_vp,CodeQL,none,production,1453,0.3806232934765801,6,0.40298017876516146,False
140,line-too-long,clear_fp,CodeQL,warning,infra,1792,0.9327307404762548,5,0.898261627292706,True
141,bare-except,clear_fp,Semgrep,error,production,994,0.5061075548467509,2,0.7767236304716927,True
142,path-traversal,mixed,CodeQL,warning,test,989,0.10566468426174391,5,0.06134962711066816,True
143,sqli-confirmed,clear_vp,SonarQube,note,test,457,0.4303371775089212,2,0.7826960407441492,False
144,hsts-missing,clear_fp,SonarQube,note,production,1576,0.8139702695060188,5,0.13071037674019947,True
145,hsts-missing,clear_fp,SonarQube,warning,production,1765,0.3870787603356308,3,0.4185806216239353,True
146,sql-injection,mixed,SonarQube,note,production,901,0.2152018720172375,1,0.24120145759954148,True
147,path-traversal,mixed,SonarQube,note,production,629,0.4882411370217782,2,0.7373570773877997,True
148,http-404-burst,clear_fp,CodeQL,note,config,21,0.9562221906489483,2,0.6586921462074435,True
149,rds-public,mixed,SonarQube,none,production,759,0.6593539222057827,4,0.5184080219452041,True
150,rds-public,mixed,Semgrep,none,production,1224,0.08479201604580322,3,0.01210847523488745,True
151,dns-exfiltration,clear_vp,SonarQube,none,config,1515,0.4121309302627716,3,0.4242968858848881,False
152,command-injection,clear_vp,Semgrep,none,production,329,0.3819396396528959,2,0.6150129680388666,False
153,weak-cipher,mixed,SonarQube,none,production,1512,0.11395663471431716,5,0.043735625879969486,True
154,deserialization,clear_vp,SonarQube,warning,production,846,0.4394049896944522,4,0.19747048985993731,False
155,rds-public,mixed,Semgrep,warning,infra,943,0.2522410201733616,7,0.5450269188969383,False
156,xss-reflected,mixed,CodeQL,warning,config,541,0.6852980161158734,3,0.15067610770987738,False
157,unused-import,clear_fp,SonarQube,warning,production,23,0.6888853020500907,5,0.009331619827093296,True
158,catch-generic,clear_fp,SonarQube,none,production,1248,0.8798164859419387,7,0.5386956673430391,True
159,rce-confirmed,clear_vp,CodeQL,note,production,1461,0.3679407513020845,2,0.3056042154902149,False
160,catch-generic,clear_fp,CodeQL,error,production,536,0.21720909769121055,3,0.17837258430732983,True
161,hsts-missing,clear_fp,Semgrep,warning,test,336,0.22543875546369385,2,0.4865976622437531,True
162,gdpr-data-leak,clear_vp,Semgrep,warning,config,1343,0.07705827913433116,2,0.7848969771114676,False
163,command-injection,clear_vp,Semgrep,warning,production,1207,0.2358575991436871,2,0.801366915819519,False
164,s3-no-encryption,mixed,Semgrep,none,test,198,0.6361773647082327,3,0.8398022856356172,True
165,s3-no-encryption,mixed,SonarQube,warning,infra,973,0.700251959444521,6,0.8527280198757112,True
166,catch-generic,clear_fp,Semgrep,note,production,917,0.45818688673789265,3,0.7279393069737652,True
167,bare-except,clear_fp,Semgrep,error,production,1567,0.9226230580877897,2,0.282745689578762,True
168,xss-reflected,mixed,CodeQL,warning,production,632,0.9748346527811119,4,0.15638180440344795,False
169,deserialization,clear_vp,SonarQube,warning,production,1423,0.0218233967754895,5,0.4187933190741614,False
170,s3-no-encryption,mixed,Semgrep,warning,infra,1155,0.7251557275511148,3,0.947035987738723,False
171,unused-import,clear_fp,CodeQL,warning,production,28,0.7228143032084837,2,0.5435382173426461,True
172,bare-except,clear_fp,Semgrep,note,production,1538,0.6641879145054174,2,0.8619869084042723,True
173,dns-exfiltration,clear_vp,CodeQL,warning,config,611,0.05195657755426841,3,0.1647063534322959,False
174,insecure-deser,clear_vp,Semgrep,note,production,79,0.8795818549515292,6,0.06520459126049205,False
175,dom-xss,clear_vp,SonarQube,note,production,601,0.3973813904853165,2,0.19560927304451503,False
176,latest-tag,clear_fp,Semgrep,warning,config,1621,0.31234910188551357,5,0.5578201919292014,True
177,hardcoded-secret,mixed,Semgrep,warning,infra,220,0.20201566840248997,4,0.440323418368349,False
178,xss-reflected,mixed,SonarQube,note,production,814,0.3196668324405447,4,0.32301119838621384,False
179,todo-comment,clear_fp,CodeQL,warning,test,1690,0.07940658464302952,6,0.3143501131837484,True
180,dns-exfiltration,clear_vp,CodeQL,note,production,982,0.8282492524372184,3,0.8259782127080818,False
181,http-404-burst,clear_fp,SonarQube,note,production,953,0.43550545439815935,6,0.7392947351647732,True
182,todo-comment,clear_fp,SonarQube,note,production,454,0.8557372589057863,4,0.694150573509831,True
183,todo-comment,clear_fp,CodeQL,note,production,460,0.23276314710128876,2,0.8988473881802473,True
184,bare-except,clear_fp,SonarQube,note,test,1378,0.4470555438064254,6,0.4225484283119446,True
185,gdpr-data-leak,clear_vp,SonarQube,none,config,1737,0.8394609095007669,7,0.2184431828833071,False
186,assert-usage,clear_fp,Semgrep,error,production,1400,0.2838284470235203,3,0.7302461470901459,False
187,line-too-long,clear_fp,Semgrep,note,test,1656,0.18533017952871444,2,0.7945782787001903,True
188,todo-comment,clear_fp,Semgrep,warning,config,1791,0.6588250701400705,3,0.7375657490928268,True
189,line-too-long,clear_fp,Semgrep,note,test,343,0.4304274103209902,6,0.607089578718754,True
190,dom-xss,clear_vp,SonarQube,note,test,1479,0.13169343847203852,4,0.27156876475103986,False
191,bare-except,clear_fp,Semgrep,error,production,573,0.47249335500651357,1,0.14002409755331768,True
192,unused-import,clear_fp,SonarQube,warning,production,1448,0.46974376299068377,6,0.8333170714730125,True
193,sql-injection,mixed,SonarQube,warning,test,1846,0.9317537194328164,2,0.6170665161178013,True
