threshold,precision,recall,f1,reduction,fp_filtered,fp_kept,vp_missed,tn
0.1,0.9403,0.1035,0.1865,0.9464,,8,1091,1277
0.15,0.914,0.2621,0.4074,0.8605,,30,898,1255
0.2,0.907,0.3928,0.5482,0.7894,,49,739,1236
0.25,0.8861,0.4988,0.6383,0.7262,,78,610,1207
0.3,0.8719,0.5818,0.6979,0.6755,,104,509,1181
0.35,0.8579,0.65,0.7396,0.6315,,131,426,1154
0.4,0.8346,0.705,0.7644,0.5891,,170,359,1115
0.45,0.8071,0.7494,0.7772,0.5484,,218,305,1067
0.5,0.7847,0.7905,0.7876,0.51,,264,255,1021
0.55,0.7628,0.8324,0.7961,0.4692,,315,204,970
0.6,0.7421,0.8652,0.7989,0.4329,,366,164,919
0.65,0.7205,0.8915,0.7969,0.3981,,421,132,864
0.7,0.6943,0.9071,0.7866,0.3645,,486,113,799
0.75,0.6696,0.926,0.7772,0.3273,,556,90,729
