eps,min_pts,n_clusters,noise_pct,dbscan_s,best_threshold,f1_val,precision,recall,f1,f2,reduction,vp_missed,tp,fp_kept,fn,tn,roc_auc,pr_auc
0.1,2,14,0.0007,0.06,0.44,0.876,0.9007,0.8637,0.8818,0.8708,0.691,1455,9217,1016,1455,21427,0.9675,0.9485
0.1,3,13,0.002,0.04,0.475,0.8766,0.8705,0.88,0.8752,0.8781,0.6742,1281,9391,1397,1281,21046,0.9672,0.7723
0.1,5,12,0.004,0.06,0.5,0.8758,0.7938,0.9095,0.8477,0.8837,0.6307,966,9706,2522,966,19921,0.9677,0.8998
0.1,7,9,0.0153,0.06,0.45,0.8772,0.8898,0.8747,0.8822,0.8777,0.6832,1337,9335,1156,1337,21287,0.9666,0.7297
0.1,10,8,0.0213,0.06,0.42,0.8741,0.9005,0.8597,0.8796,0.8676,0.6923,1497,9175,1014,1497,21429,0.9665,0.9478
0.1,15,8,0.0213,0.04,0.42,0.8741,0.9005,0.8597,0.8796,0.8676,0.6923,1497,9175,1014,1497,21429,0.9665,0.9478
0.15,2,8,0.0,0.06,0.435,0.879,0.8958,0.8653,0.8803,0.8713,0.6887,1437,9235,1074,1437,21369,0.9662,0.7634
0.15,3,8,0.0,0.05,0.435,0.879,0.8958,0.8653,0.8803,0.8713,0.6887,1437,9235,1074,1437,21369,0.9662,0.7634
0.15,5,7,0.0027,0.07,0.44,0.8766,0.8924,0.8657,0.8789,0.8709,0.6874,1433,9239,1114,1433,21329,0.9658,0.7614
0.15,7,7,0.0027,0.06,0.44,0.8766,0.8924,0.8657,0.8789,0.8709,0.6874,1433,9239,1114,1433,21329,0.9658,0.7614
0.15,10,7,0.0027,0.07,0.44,0.8766,0.8924,0.8657,0.8789,0.8709,0.6874,1433,9239,1114,1433,21329,0.9658,0.7614
0.15,15,5,0.018,0.05,0.425,0.8731,0.903,0.8551,0.8784,0.8643,0.6948,1546,9126,980,1546,21463,0.9663,0.7578
0.2,2,6,0.0,0.07,0.46,0.876,0.8732,0.8713,0.8722,0.8716,0.6785,1374,9298,1350,1374,21093,0.9671,0.947
0.2,3,6,0.0,0.05,0.46,0.876,0.8732,0.8713,0.8722,0.8716,0.6785,1374,9298,1350,1374,21093,0.9671,0.947
0.2,5,6,0.0,0.06,0.46,0.876,0.8732,0.8713,0.8722,0.8716,0.6785,1374,9298,1350,1374,21093,0.9671,0.947
0.2,7,6,0.0007,0.06,0.475,0.8732,0.8638,0.8811,0.8723,0.8776,0.6713,1269,9403,1483,1269,20960,0.9667,0.9401
0.2,10,6,0.0007,0.04,0.475,0.8732,0.8638,0.8811,0.8723,0.8776,0.6713,1269,9403,1483,1269,20960,0.9667,0.9401
0.2,15,4,0.018,0.05,0.46,0.8749,0.8513,0.8784,0.8646,0.8728,0.6675,1298,9374,1638,1298,20805,0.9657,0.9449
0.25,2,6,0.0,0.17,0.485,0.8741,0.8535,0.8836,0.8683,0.8774,0.6663,1242,9430,1619,1242,20824,0.9663,0.9405
0.25,3,6,0.0,0.06,0.485,0.8741,0.8535,0.8836,0.8683,0.8774,0.6663,1242,9430,1619,1242,20824,0.9663,0.9405
0.25,5,6,0.0,0.21,0.485,0.8741,0.8535,0.8836,0.8683,0.8774,0.6663,1242,9430,1619,1242,20824,0.9663,0.9405
0.25,7,6,0.0007,0.05,0.485,0.8741,0.8535,0.8836,0.8683,0.8774,0.6663,1242,9430,1619,1242,20824,0.9663,0.9405
0.25,10,6,0.0007,0.08,0.485,0.8741,0.8535,0.8836,0.8683,0.8774,0.6663,1242,9430,1619,1242,20824,0.9663,0.9405
