n_estimators,max_depth,train_s,oob_error,best_threshold,f1_val,precision,recall,f1,f2,reduction,vp_missed,tp,fp_kept,fn,tn,roc_auc
10,4,0.17,0.1696,0.505,0.805,0.7223,0.9025,0.8024,0.8596,0.5973,1040,9632,3703,1040,18740,0.9266
10,6,0.27,0.1406,0.47,0.8283,0.7952,0.8773,0.8343,0.8596,0.6445,1309,9363,2411,1309,20032,0.9459
10,8,0.44,0.1195,0.425,0.8568,0.8668,0.8465,0.8565,0.8505,0.6853,1638,9034,1388,1638,21055,0.9579
10,10,0.63,0.1065,0.43,0.8678,0.8713,0.8588,0.865,0.8613,0.6823,1507,9165,1354,1507,21089,0.9642
10,12,0.58,0.1012,0.425,0.8729,0.8918,0.8524,0.8717,0.86,0.692,1575,9097,1104,1575,21339,0.9654
10,14,0.48,0.0998,0.44,0.8618,0.8662,0.8617,0.8639,0.8626,0.6794,1476,9196,1421,1476,21022,0.9632
10,16,0.8,0.1138,0.415,0.8598,0.8568,0.8512,0.854,0.8523,0.6798,1588,9084,1518,1588,20925,0.961
10,20,0.5,0.1117,0.395,0.8608,0.8688,0.8392,0.8537,0.845,0.6887,1716,8956,1353,1716,21090,0.9604
10,30,0.63,0.1117,0.395,0.8608,0.8688,0.8392,0.8537,0.845,0.6887,1716,8956,1353,1716,21090,0.9604
20,4,0.36,0.1697,0.45,0.8039,0.7507,0.8561,0.7999,0.8327,0.6325,1536,9136,3034,1536,19409,0.9299
20,6,0.74,0.1306,0.47,0.8383,0.7998,0.8802,0.8381,0.8629,0.6453,1278,9394,2351,1278,20092,0.9501
20,8,0.72,0.1117,0.475,0.8627,0.8403,0.8752,0.8574,0.868,0.6644,1332,9340,1775,1332,20668,0.9591
20,10,1.21,0.1004,0.45,0.8724,0.8574,0.8732,0.8652,0.87,0.6718,1353,9319,1550,1353,20893,0.9653
20,12,0.98,0.1013,0.465,0.8709,0.8584,0.8818,0.8699,0.877,0.6689,1261,9411,1553,1261,20890,0.9656
20,14,1.42,0.0923,0.45,0.8769,0.8824,0.8682,0.8752,0.871,0.6829,1407,9265,1235,1407,21208,0.9658
20,16,0.98,0.101,0.475,0.8766,0.8564,0.8802,0.8682,0.8754,0.6688,1278,9394,1575,1278,20868,0.965
20,20,1.23,0.0993,0.47,0.8749,0.8635,0.8811,0.8722,0.8775,0.6711,1269,9403,1487,1269,20956,0.9646
20,30,1.17,0.0993,0.47,0.8749,0.8635,0.8811,0.8722,0.8775,0.6711,1269,9403,1487,1269,20956,0.9646
30,4,0.58,0.1725,0.45,0.8085,0.7443,0.8751,0.8044,0.8454,0.6211,1333,9339,3209,1333,19234,0.9316
